==== 3D Bin Packing Problem Test Cases ====

==== Number of Items: 50 ====
---- Test Type: 1 : 100 100 100 ----
Test 1 (Type 1, n=50)
Item-Item3D-43: [W=78, H=31, L=94]
Item-Item3D-44: [W=76, H=69, L=35]
Item-Item3D-45: [W=9, H=97, L=87]
Item-Item3D-46: [W=76, H=76, L=7]
Item-Item3D-47: [W=85, H=77, L=5]
Item-Item3D-48: [W=84, H=66, L=25]
Item-Item3D-49: [W=71, H=98, L=19]
Item-Item3D-50: [W=76, H=94, L=17]

Test 4 (Type 1, n=50)
Item-Item3D-1: [W=83, H=84, L=49]
Item-Item3D-2: [W=85, H=85, L=48]
Item-Item3D-3: [W=70, H=70, L=15]
Item-Item3D-4: [W=82, H=24, L=87]
Item-Item3D-5: [W=94, H=93, L=15]
Item-Item3D-6: [W=69, H=89, L=45]
Item-Item3D-7: [W=81, H=84, L=12]
Item-Item3D-8: [W=77, H=80, L=19]
Item-Item3D-9: [W=34, H=85, L=100]
Item-Item3D-10: [W=93, H=91, L=26]
Item-Item3D-11: [W=83, H=22, L=76]
Item-Item3D-12: [W=89, H=89, L=25]
Item-Item3D-13: [W=18, H=20, L=4]
Item-Item3D-14: [W=4, H=80, L=83]
Item-Item3D-15: [W=9, H=100, L=69]
Item-Item3D-16: [W=99, H=77, L=21]
Item-Item3D-17: [W=94, H=72, L=5]
Item-Item3D-18: [W=33, H=21, L=40]
Item-Item3D-19: [W=69, H=92, L=30]
Item-Item3D-20: [W=75, H=91, L=30]
Item-Item3D-21: [W=83, H=47, L=67]
Item-Item3D-22: [W=95, H=80, L=49]
Item-Item3D-23: [W=84, H=74, L=34]
Item-Item3D-24: [W=69, H=91, L=8]
Item-Item3D-25: [W=86, H=68, L=26]
Item-Item3D-26: [W=91, H=87, L=16]
Item-Item3D-27: [W=69, H=98, L=22]
Item-Item3D-28: [W=68, H=81, L=31]
Item-Item3D-29: [W=48, H=4, L=35]
Item-Item3D-30: [W=9, H=94, L=95]
Item-Item3D-31: [W=91, H=22, L=86]
Item-Item3D-32: [W=68, H=70, L=22]
Item-Item3D-33: [W=88, H=78, L=47]
Item-Item3D-34: [W=52, H=90, L=84]
Item-Item3D-35: [W=68, H=83, L=28]
Item-Item3D-36: [W=51, H=55, L=59]
Item-Item3D-37: [W=96, H=83, L=22]
Item-Item3D-38: [W=39, H=99, L=78]
Item-Item3D-39: [W=83, H=3, L=71]
Item-Item3D-40: [W=94, H=71, L=48]
Item-Item3D-41: [W=86, H=76, L=41]
Item-Item3D-42: [W=75, H=81, L=21]
Item-Item3D-43: [W=24, H=82, L=78]
Item-Item3D-44: [W=56, H=95, L=67]
Item-Item3D-45: [W=87, H=88, L=90]
Item-Item3D-46: [W=91, H=92, L=19]
Item-Item3D-47: [W=77, H=69, L=7]
Item-Item3D-48: [W=64, H=96, L=68]
Item-Item3D-49: [W=17, H=89, L=78]
Item-Item3D-50: [W=85, H=93, L=9]

Test 5 (Type 1, n=50)
Item-Item3D-1: [W=90, H=93, L=14]
Item-Item3D-2: [W=86, H=96, L=28]
Item-Item3D-3: [W=7, H=5, L=31]
Item-Item3D-4: [W=78, H=90, L=25]
Item-Item3D-5: [W=85, H=87, L=16]
Item-Item3D-6: [W=97, H=80, L=36]
Item-Item3D-7: [W=7, H=2, L=3]
Item-Item3D-8: [W=85, H=92, L=5]
Item-Item3D-9: [W=67, H=66, L=73]
Item-Item3D-10: [W=93, H=58, L=64]
Item-Item3D-11: [W=70, H=78, L=2]
Item-Item3D-12: [W=83, H=87, L=14]
Item-Item3D-13: [W=90, H=92, L=19]
Item-Item3D-14: [W=92, H=42, L=92]
Item-Item3D-15: [W=34, H=87, L=98]
Item-Item3D-16: [W=71, H=87, L=27]
Item-Item3D-17: [W=5, H=83, L=75]
Item-Item3D-18: [W=89, H=86, L=44]
Item-Item3D-19: [W=20, H=20, L=1]
Item-Item3D-20: [W=86, H=99, L=48]
Item-Item3D-21: [W=83, H=82, L=17]
Item-Item3D-22: [W=68, H=52, L=88]
Item-Item3D-23: [W=76, H=89, L=15]
Item-Item3D-24: [W=73, H=80, L=14]
Item-Item3D-25: [W=70, H=72, L=48]
Item-Item3D-26: [W=75, H=98, L=8]
Item-Item3D-27: [W=38, H=46, L=1]
Item-Item3D-28: [W=56, H=100, L=86]
Item-Item3D-29: [W=88, H=93, L=34]
Item-Item3D-30: [W=90, H=80, L=68]
Item-Item3D-31: [W=88, H=47, L=79]
Item-Item3D-32: [W=1, H=70, L=71]
Item-Item3D-33: [W=97, H=76, L=26]
Item-Item3D-34: [W=82, H=79, L=31]
Item-Item3D-35: [W=90, H=78, L=46]
Item-Item3D-36: [W=90, H=100, L=27]
Item-Item3D-37: [W=91, H=76, L=34]
Item-Item3D-38: [W=70, H=73, L=1]
Item-Item3D-39: [W=13, H=20, L=23]
Item-Item3D-40: [W=14, H=26, L=44]
Item-Item3D-41: [W=96, H=81, L=6]
Item-Item3D-42: [W=80, H=93, L=36]
Item-Item3D-43: [W=88, H=8, L=73]
Item-Item3D-44: [W=95, H=94, L=26]
Item-Item3D-45: [W=78, H=81, L=43]
Item-Item3D-46: [W=31, H=13, L=18]
Item-Item3D-47: [W=92, H=83, L=21]
Item-Item3D-48: [W=16, H=38, L=1]
Item-Item3D-49: [W=95, H=82, L=29]
Item-Item3D-50: [W=93, H=70, L=27]

Test 6 (Type 1, n=50)
Item-Item3D-1: [W=99, H=77, L=36]
Item-Item3D-2: [W=94, H=90, L=44]
Item-Item3D-3: [W=76, H=72, L=21]
Item-Item3D-4: [W=90, H=89, L=47]
Item-Item3D-5: [W=93, H=69, L=45]
Item-Item3D-6: [W=72, H=34, L=76]
Item-Item3D-7: [W=27, H=88, L=86]
Item-Item3D-8: [W=85, H=88, L=37]
Item-Item3D-9: [W=99, H=85, L=1]
Item-Item3D-10: [W=87, H=82, L=37]
Item-Item3D-11: [W=70, H=67, L=48]
Item-Item3D-12: [W=30, H=82, L=95]
Item-Item3D-13: [W=65, H=55, L=53]
Item-Item3D-14: [W=76, H=90, L=22]
Item-Item3D-15: [W=91, H=91, L=3]
Item-Item3D-16: [W=69, H=99, L=2]
Item-Item3D-17: [W=76, H=70, L=22]
Item-Item3D-18: [W=88, H=79, L=15]
Item-Item3D-19: [W=87, H=94, L=19]
Item-Item3D-20: [W=67, H=90, L=36]
Item-Item3D-21: [W=28, H=93, L=66]
Item-Item3D-22: [W=1, H=67, L=75]
Item-Item3D-23: [W=83, H=79, L=24]
Item-Item3D-24: [W=91, H=73, L=8]
Item-Item3D-25: [W=68, H=82, L=6]
Item-Item3D-26: [W=68, H=93, L=28]
Item-Item3D-27: [W=78, H=95, L=34]
Item-Item3D-28: [W=68, H=80, L=22]
Item-Item3D-29: [W=73, H=77, L=43]
Item-Item3D-30: [W=3, H=2, L=44]
Item-Item3D-31: [W=77, H=66, L=2]
Item-Item3D-32: [W=69, H=38, L=94]
Item-Item3D-33: [W=78, H=9, L=70]
Item-Item3D-34: [W=19, H=77, L=69]
Item-Item3D-35: [W=68, H=89, L=9]
Item-Item3D-36: [W=96, H=94, L=16]
Item-Item3D-37: [W=100, H=81, L=36]
Item-Item3D-38: [W=93, H=26, L=91]
Item-Item3D-39: [W=97, H=98, L=3]
Item-Item3D-40: [W=86, H=87, L=43]
Item-Item3D-41: [W=45, H=81, L=85]
Item-Item3D-42: [W=38, H=5, L=5]
Item-Item3D-43: [W=10, H=36, L=17]
Item-Item3D-44: [W=74, H=68, L=22]
Item-Item3D-45: [W=93, H=66, L=18]
Item-Item3D-46: [W=82, H=95, L=9]
Item-Item3D-47: [W=75, H=68, L=53]
Item-Item3D-48: [W=95, H=93, L=48]
Item-Item3D-49: [W=66, H=93, L=39]
Item-Item3D-50: [W=82, H=88, L=25]

Test 7 (Type 1, n=50)
Item-Item3D-1: [W=74, H=78, L=34]
Item-Item3D-2: [W=87, H=71, L=70]
Item-Item3D-3: [W=76, H=87, L=2]
Item-Item3D-4: [W=19, H=13, L=47]
Item-Item3D-5: [W=90, H=83, L=50]
Item-Item3D-6: [W=68, H=70, L=43]
Item-Item3D-7: [W=83, H=84, L=32]
Item-Item3D-8: [W=80, H=92, L=42]
Item-Item3D-9: [W=82, H=76, L=23]
Item-Item3D-10: [W=25, H=94, L=85]
Item-Item3D-11: [W=97, H=92, L=22]
Item-Item3D-12: [W=5, H=76, L=96]
Item-Item3D-13: [W=68, H=81, L=10]
Item-Item3D-14: [W=80, H=84, L=47]
Item-Item3D-15: [W=70, H=81, L=4]
Item-Item3D-16: [W=66, H=91, L=23]
Item-Item3D-17: [W=67, H=87, L=20]
Item-Item3D-18: [W=37, H=78, L=93]
Item-Item3D-19: [W=84, H=86, L=25]
Item-Item3D-20: [W=83, H=20, L=68]
Item-Item3D-21: [W=85, H=77, L=4]
Item-Item3D-22: [W=79, H=66, L=23]
Item-Item3D-23: [W=79, H=78, L=44]
Item-Item3D-24: [W=12, H=13, L=35]
Item-Item3D-25: [W=76, H=83, L=6]
Item-Item3D-26: [W=100, H=70, L=36]
Item-Item3D-27: [W=82, H=88, L=36]
Item-Item3D-28: [W=90, H=77, L=46]
Item-Item3D-29: [W=43, H=74, L=92]
Item-Item3D-30: [W=82, H=86, L=45]
Item-Item3D-31: [W=30, H=46, L=23]
Item-Item3D-32: [W=91, H=87, L=49]
Item-Item3D-33: [W=77, H=99, L=41]
Item-Item3D-34: [W=72, H=67, L=24]
Item-Item3D-35: [W=98, H=84, L=10]
Item-Item3D-36: [W=71, H=68, L=61]
Item-Item3D-37: [W=92, H=66, L=45]
Item-Item3D-38: [W=91, H=84, L=14]
Item-Item3D-39: [W=17, H=66, L=92]
Item-Item3D-40: [W=48, H=91, L=87]
Item-Item3D-41: [W=99, H=70, L=3]
Item-Item3D-42: [W=39, H=84, L=72]
Item-Item3D-43: [W=74, H=74, L=13]
Item-Item3D-44: [W=88, H=77, L=23]
Item-Item3D-45: [W=32, H=41, L=37]
Item-Item3D-46: [W=90, H=88, L=44]
Item-Item3D-47: [W=98, H=82, L=95]
Item-Item3D-48: [W=99, H=77, L=26]
Item-Item3D-49: [W=76, H=75, L=2]
Item-Item3D-50: [W=100, H=90, L=16]

Test 8 (Type 1, n=50)
Item-Item3D-1: [W=70, H=88, L=33]
Item-Item3D-2: [W=75, H=74, L=42]
Item-Item3D-3: [W=79, H=84, L=24]
Item-Item3D-4: [W=68, H=83, L=15]
Item-Item3D-5: [W=69, H=72, L=29]
Item-Item3D-6: [W=74, H=74, L=27]
Item-Item3D-7: [W=30, H=81, L=97]
Item-Item3D-8: [W=89, H=86, L=1]
Item-Item3D-9: [W=98, H=82, L=65]
Item-Item3D-10: [W=89, H=83, L=31]
Item-Item3D-11: [W=68, H=47, L=82]
Item-Item3D-12: [W=32, H=24, L=6]
Item-Item3D-13: [W=84, H=76, L=1]
Item-Item3D-14: [W=70, H=93, L=17]
Item-Item3D-15: [W=73, H=41, L=75]
Item-Item3D-16: [W=98, H=90, L=14]
Item-Item3D-17: [W=51, H=70, L=56]
Item-Item3D-18: [W=81, H=82, L=46]
Item-Item3D-19: [W=74, H=71, L=43]
Item-Item3D-20: [W=94, H=97, L=30]
Item-Item3D-21: [W=82, H=74, L=20]
Item-Item3D-22: [W=73, H=94, L=36]
Item-Item3D-23: [W=88, H=92, L=6]
Item-Item3D-24: [W=83, H=81, L=46]
Item-Item3D-25: [W=96, H=69, L=27]
Item-Item3D-26: [W=99, H=80, L=13]
Item-Item3D-27: [W=50, H=37, L=1]
Item-Item3D-28: [W=88, H=77, L=28]
Item-Item3D-29: [W=12, H=85, L=100]
Item-Item3D-30: [W=18, H=75, L=97]
Item-Item3D-31: [W=100, H=82, L=42]
Item-Item3D-32: [W=90, H=38, L=68]
Item-Item3D-33: [W=96, H=69, L=37]
Item-Item3D-34: [W=85, H=88, L=37]
Item-Item3D-35: [W=93, H=82, L=6]
Item-Item3D-36: [W=15, H=78, L=69]
Item-Item3D-37: [W=84, H=40, L=74]
Item-Item3D-38: [W=100, H=78, L=29]
Item-Item3D-39: [W=96, H=85, L=54]
Item-Item3D-40: [W=80, H=86, L=72]
Item-Item3D-41: [W=68, H=99, L=50]
Item-Item3D-42: [W=67, H=84, L=21]
Item-Item3D-43: [W=71, H=87, L=28]
Item-Item3D-44: [W=25, H=92, L=100]
Item-Item3D-45: [W=72, H=84, L=17]
Item-Item3D-46: [W=87, H=85, L=4]
Item-Item3D-47: [W=25, H=18, L=10]
Item-Item3D-48: [W=5, H=77, L=69]
Item-Item3D-49: [W=30, H=77, L=99]
Item-Item3D-50: [W=42, H=8, L=11]

Test 9 (Type 1, n=50)
Item-Item3D-1: [W=69, H=85, L=100]
Item-Item3D-2: [W=69, H=72, L=29]
Item-Item3D-3: [W=69, H=96, L=16]
Item-Item3D-4: [W=1, H=91, L=78]
Item-Item3D-5: [W=71, H=84, L=50]
Item-Item3D-6: [W=8, H=72, L=100]
Item-Item3D-7: [W=77, H=69, L=3]
Item-Item3D-8: [W=86, H=86, L=98]
Item-Item3D-9: [W=75, H=99, L=48]
Item-Item3D-10: [W=98, H=69, L=8]
Item-Item3D-11: [W=97, H=21, L=91]
Item-Item3D-12: [W=99, H=84, L=36]
Item-Item3D-13: [W=27, H=7, L=35]
Item-Item3D-14: [W=72, H=94, L=19]
Item-Item3D-15: [W=82, H=85, L=31]
Item-Item3D-16: [W=92, H=84, L=11]
Item-Item3D-17: [W=41, H=6, L=17]
Item-Item3D-18: [W=29, H=98, L=83]
Item-Item3D-19: [W=81, H=90, L=22]
Item-Item3D-20: [W=79, H=79, L=25]
Item-Item3D-21: [W=85, H=80, L=2]
Item-Item3D-22: [W=97, H=86, L=19]
Item-Item3D-23: [W=93, H=42, L=88]
Item-Item3D-24: [W=85, H=85, L=16]
Item-Item3D-25: [W=75, H=85, L=12]
Item-Item3D-26: [W=99, H=85, L=11]
Item-Item3D-27: [W=7, H=21, L=11]
Item-Item3D-28: [W=84, H=83, L=42]
Item-Item3D-29: [W=87, H=75, L=3]
Item-Item3D-30: [W=72, H=90, L=8]
Item-Item3D-31: [W=44, H=27, L=10]
Item-Item3D-32: [W=96, H=93, L=6]
Item-Item3D-33: [W=81, H=78, L=17]
Item-Item3D-34: [W=96, H=60, L=99]
Item-Item3D-35: [W=42, H=92, L=100]
Item-Item3D-36: [W=83, H=6, L=71]
Item-Item3D-37: [W=72, H=90, L=30]
Item-Item3D-38: [W=98, H=71, L=40]
Item-Item3D-39: [W=84, H=98, L=22]
Item-Item3D-40: [W=82, H=98, L=47]
Item-Item3D-41: [W=93, H=100, L=2]
Item-Item3D-42: [W=69, H=90, L=36]
Item-Item3D-43: [W=75, H=88, L=27]
Item-Item3D-44: [W=10, H=2, L=43]
Item-Item3D-45: [W=5, H=67, L=72]
Item-Item3D-46: [W=96, H=71, L=9]
Item-Item3D-47: [W=92, H=83, L=4]
Item-Item3D-48: [W=87, H=84, L=3]
Item-Item3D-49: [W=83, H=87, L=48]
Item-Item3D-50: [W=27, H=10, L=32]

Test 10 (Type 1, n=50)
Item-Item3D-1: [W=70, H=87, L=21]
Item-Item3D-2: [W=86, H=91, L=25]
Item-Item3D-3: [W=81, H=90, L=42]
Item-Item3D-4: [W=77, H=67, L=6]
Item-Item3D-5: [W=82, H=68, L=49]
Item-Item3D-6: [W=85, H=95, L=41]
Item-Item3D-7: [W=82, H=87, L=31]
Item-Item3D-8: [W=73, H=72, L=19]
Item-Item3D-9: [W=98, H=78, L=39]
Item-Item3D-10: [W=84, H=82, L=12]
Item-Item3D-11: [W=80, H=91, L=11]
Item-Item3D-12: [W=35, H=10, L=22]
Item-Item3D-13: [W=38, H=13, L=4]
Item-Item3D-14: [W=2, H=89, L=100]
Item-Item3D-15: [W=81, H=67, L=84]
Item-Item3D-16: [W=5, H=1, L=12]
Item-Item3D-17: [W=98, H=88, L=5]
Item-Item3D-18: [W=88, H=68, L=24]
Item-Item3D-19: [W=79, H=78, L=16]
Item-Item3D-20: [W=25, H=85, L=87]
Item-Item3D-21: [W=33, H=97, L=80]
Item-Item3D-22: [W=90, H=56, L=97]
Item-Item3D-23: [W=99, H=88, L=12]
Item-Item3D-24: [W=72, H=95, L=23]
Item-Item3D-25: [W=19, H=27, L=40]
Item-Item3D-26: [W=89, H=15, L=90]
Item-Item3D-27: [W=72, H=85, L=27]
Item-Item3D-28: [W=100, H=68, L=30]
Item-Item3D-29: [W=84, H=100, L=43]
Item-Item3D-30: [W=10, H=74, L=75]
Item-Item3D-31: [W=31, H=10, L=33]
Item-Item3D-32: [W=77, H=66, L=36]
Item-Item3D-33: [W=80, H=96, L=14]
Item-Item3D-34: [W=97, H=96, L=27]
Item-Item3D-35: [W=10, H=30, L=48]
Item-Item3D-36: [W=94, H=83, L=44]
Item-Item3D-37: [W=74, H=89, L=37]
Item-Item3D-38: [W=97, H=72, L=25]
Item-Item3D-39: [W=71, H=67, L=1]
Item-Item3D-40: [W=94, H=68, L=9]
Item-Item3D-41: [W=74, H=74, L=23]
Item-Item3D-42: [W=96, H=98, L=14]
Item-Item3D-43: [W=69, H=74, L=12]
Item-Item3D-44: [W=1, H=97, L=79]
Item-Item3D-45: [W=89, H=82, L=35]
Item-Item3D-46: [W=70, H=67, L=14]
Item-Item3D-47: [W=37, H=50, L=28]
Item-Item3D-48: [W=84, H=77, L=3]
Item-Item3D-49: [W=66, H=96, L=22]
Item-Item3D-50: [W=23, H=46, L=26]

---- Test Type: 2 : 100 100 100 ----
Test 1 (Type 2, n=50)
Item-Item3D-1: [W=14, H=100, L=72]
Item-Item3D-2: [W=87, H=87, L=43]
Item-Item3D-3: [W=21, H=86, L=78]
Item-Item3D-4: [W=34, H=81, L=89]
Item-Item3D-5: [W=47, H=69, L=66]
Item-Item3D-6: [W=36, H=78, L=97]
Item-Item3D-7: [W=2, H=66, L=82]
Item-Item3D-8: [W=86, H=1, L=94]
Item-Item3D-9: [W=19, H=100, L=80]
Item-Item3D-10: [W=23, H=76, L=69]
Item-Item3D-11: [W=29, H=81, L=73]
Item-Item3D-12: [W=8, H=81, L=81]
Item-Item3D-13: [W=68, H=19, L=97]
Item-Item3D-14: [W=35, H=76, L=80]
Item-Item3D-15: [W=28, H=81, L=92]
Item-Item3D-16: [W=13, H=69, L=99]
Item-Item3D-17: [W=6, H=78, L=84]
Item-Item3D-18: [W=59, H=100, L=66]
Item-Item3D-19: [W=91, H=78, L=55]
Item-Item3D-20: [W=7, H=80, L=66]
Item-Item3D-21: [W=4, H=69, L=74]
Item-Item3D-22: [W=44, H=69, L=92]
Item-Item3D-23: [W=40, H=15, L=44]
Item-Item3D-24: [W=25, H=96, L=94]
Item-Item3D-25: [W=18, H=6, L=5]
Item-Item3D-26: [W=6, H=80, L=81]
Item-Item3D-27: [W=14, H=85, L=79]
Item-Item3D-28: [W=10, H=83, L=66]
Item-Item3D-29: [W=71, H=81, L=13]
Item-Item3D-30: [W=23, H=94, L=72]
Item-Item3D-31: [W=19, H=95, L=92]
Item-Item3D-32: [W=77, H=75, L=95]
Item-Item3D-33: [W=24, H=67, L=100]
Item-Item3D-34: [W=7, H=83, L=69]
Item-Item3D-35: [W=9, H=47, L=18]
Item-Item3D-36: [W=3, H=69, L=80]
Item-Item3D-37: [W=39, H=74, L=69]
Item-Item3D-38: [W=11, H=83, L=99]
Item-Item3D-39: [W=36, H=83, L=84]
Item-Item3D-40: [W=81, H=21, L=96]
Item-Item3D-41: [W=78, H=84, L=85]
Item-Item3D-42: [W=84, H=97, L=46]
Item-Item3D-43: [W=25, H=71, L=84]
Item-Item3D-44: [W=40, H=44, L=16]
Item-Item3D-45: [W=37, H=71, L=83]
Item-Item3D-46: [W=97, H=13, L=100]
Item-Item3D-47: [W=19, H=74, L=89]
Item-Item3D-48: [W=36, H=94, L=95]
Item-Item3D-49: [W=68, H=92, L=33]
Item-Item3D-50: [W=74, H=40, L=90]

Test 2 (Type 2, n=50)
Item-Item3D-1: [W=83, H=83, L=36]
Item-Item3D-2: [W=86, H=20, L=92]
Item-Item3D-3: [W=13, H=68, L=95]
Item-Item3D-4: [W=27, H=68, L=85]
Item-Item3D-5: [W=10, H=66, L=88]
Item-Item3D-6: [W=90, H=27, L=79]
Item-Item3D-7: [W=10, H=49, L=23]
Item-Item3D-8: [W=78, H=7, L=78]
Item-Item3D-9: [W=31, H=81, L=87]
Item-Item3D-10: [W=79, H=50, L=81]
Item-Item3D-11: [W=14, H=76, L=67]
Item-Item3D-12: [W=19, H=75, L=76]
Item-Item3D-13: [W=7, H=87, L=80]
Item-Item3D-14: [W=48, H=3, L=45]
Item-Item3D-15: [W=42, H=45, L=28]
Item-Item3D-16: [W=80, H=73, L=37]
Item-Item3D-17: [W=73, H=3, L=93]
Item-Item3D-18: [W=49, H=88, L=94]
